#e_p,R_H,f_stab
0.320,0.380,-0.05000
0.320,0.390,-0.05000
0.320,0.400,-0.05000
0.320,0.410,-0.05000
0.320,0.420,-0.05000
0.320,0.430,-0.05000
0.320,0.440,-0.05000
0.320,0.450,-0.05000
0.320,0.460,-0.05000
0.320,0.470,-0.05000
0.320,0.480,-0.05000
0.320,0.490,-0.05000
0.320,0.500,-0.05000
0.320,0.510,-0.05000
0.320,0.520,-0.05000
0.320,0.530,-0.05000
0.320,0.540,-0.05000
0.320,0.550,-0.04762
0.330,0.250,1.00000
0.330,0.260,1.00000
0.330,0.270,0.50000
0.330,0.280,0.09524
0.330,0.290,0.05000
0.330,0.300,0.10000
0.330,0.310,0.10000
0.330,0.320,0.33333
0.330,0.330,0.10000
0.330,0.340,-0.05000
0.330,0.350,-0.05000
0.330,0.360,-0.05000
0.330,0.370,-0.05000
0.330,0.380,-0.05000
0.330,0.390,-0.04762
0.330,0.400,-0.05000
0.330,0.410,-0.05000
0.330,0.420,-0.05000
0.330,0.430,-0.05000
0.330,0.440,-0.05000
0.330,0.450,-0.04762
0.330,0.460,-0.05000
0.330,0.470,-0.05000
0.330,0.480,-0.05000
0.330,0.490,-0.05000
0.330,0.500,-0.05000
0.330,0.510,-0.05000
0.330,0.520,-0.05000
0.330,0.530,-0.05000
0.330,0.540,-0.05000
0.330,0.550,-0.05000
0.340,0.250,1.00000
0.340,0.260,1.00000
0.340,0.270,0.40000
0.340,0.280,0.10000
0.340,0.290,0.15000
0.340,0.300,0.10000
0.340,0.310,0.05000
0.340,0.320,0.05000
0.340,0.330,0.10000
0.340,0.340,0.05000
0.340,0.350,-0.04762
0.340,0.360,-0.05000
0.340,0.370,-0.05000
0.340,0.380,-0.05000
0.340,0.390,-0.05000
0.340,0.400,-0.05000
0.340,0.410,-0.05000
0.340,0.420,-0.05000
0.340,0.430,-0.05000
0.340,0.440,-0.05000
0.340,0.450,-0.05000
0.340,0.460,-0.05000
0.340,0.470,-0.05000
0.340,0.480,-0.05000
0.340,0.490,-0.05000
0.340,0.500,-0.04762
0.340,0.510,-0.05000
0.340,0.520,-0.05000
0.340,0.530,-0.05000
0.340,0.540,-0.05000
0.340,0.550,-0.05000
0.350,0.250,1.00000
0.350,0.260,1.00000
0.350,0.270,0.28571
0.350,0.280,0.05000
0.350,0.290,0.20000
0.350,0.300,0.10000
0.350,0.310,0.15000
0.350,0.320,0.09524
0.350,0.330,-0.05000
0.350,0.340,-0.05000
0.350,0.350,-0.05000
0.350,0.360,-0.05000
0.350,0.370,-0.05000
0.350,0.380,-0.05000
0.350,0.390,-0.05000
0.350,0.400,-0.05000
0.350,0.410,-0.05000
0.350,0.420,-0.05000
0.350,0.430,-0.05000
0.350,0.440,-0.05000
0.350,0.450,-0.05000
0.350,0.460,-0.05000
0.350,0.470,-0.05000
0.350,0.480,-0.05000
0.350,0.490,-0.05000
0.350,0.500,-0.05000
0.350,0.510,-0.05000
0.350,0.520,-0.05000
0.350,0.530,-0.05000
0.350,0.540,-0.05000
0.350,0.550,-0.05000
0.360,0.250,1.00000
0.360,0.260,1.00000
0.360,0.270,0.20000
0.360,0.280,0.10000
0.360,0.290,0.20000
0.360,0.300,0.05000
0.360,0.310,-0.05000
0.360,0.320,0.05000
0.360,0.330,-0.05000
0.360,0.340,-0.05000
0.360,0.350,-0.05000
0.360,0.360,-0.05000
0.360,0.370,-0.05000
0.360,0.380,-0.05000
0.360,0.390,-0.05000
0.360,0.400,-0.05000
0.360,0.410,-0.05000
0.360,0.420,-0.05000
0.360,0.430,-0.05000
0.360,0.440,-0.05000
0.360,0.450,-0.05000
0.360,0.460,-0.05000
0.360,0.470,-0.05000
0.360,0.480,-0.05000
0.360,0.490,-0.05000
0.360,0.500,-0.05000
0.360,0.510,-0.05000
0.360,0.520,-0.05000
0.360,0.530,-0.05000
0.360,0.540,-0.05000
0.360,0.550,-0.05000
0.370,0.250,1.00000
0.370,0.260,1.00000
0.370,0.270,0.10000
0.370,0.280,0.10000
0.370,0.290,0.10000
0.370,0.300,0.09524
0.370,0.310,-0.05000
0.370,0.320,-0.05000
0.370,0.330,-0.05000
0.370,0.340,0.05000
0.370,0.350,-0.05000
0.370,0.360,-0.05000
0.370,0.370,-0.05000
0.370,0.380,-0.05000
0.370,0.390,-0.05000
0.370,0.400,-0.04762
0.370,0.410,-0.05000
0.370,0.420,-0.05000
0.370,0.430,-0.05000
0.370,0.440,-0.05000
0.370,0.450,-0.05000
0.370,0.460,-0.05000
0.370,0.470,-0.05000
0.370,0.480,-0.05000
0.370,0.490,-0.05000
0.370,0.500,-0.05000
0.370,0.510,-0.05000
0.370,0.520,-0.05000
0.370,0.530,-0.05000
0.370,0.540,-0.04762
0.370,0.550,-0.05000
0.380,0.250,1.00000
0.380,0.260,1.00000
0.380,0.270,0.10000
0.380,0.280,-0.05000
0.380,0.290,-0.05000
0.380,0.300,0.05000
0.380,0.310,-0.05000
0.380,0.320,0.05000
0.380,0.330,-0.05000
0.380,0.340,-0.05000
0.380,0.350,-0.05000
0.380,0.360,-0.05000
0.380,0.370,-0.05000
0.380,0.380,-0.05000
0.380,0.390,-0.05000
0.380,0.400,-0.05000
0.380,0.410,-0.05000
0.380,0.420,-0.05000
0.380,0.430,-0.05000
0.380,0.440,-0.05000
0.380,0.450,-0.05000
0.380,0.460,-0.05000
0.380,0.470,-0.04762
0.380,0.480,-0.05000
0.380,0.490,-0.04762
0.380,0.500,-0.05000
0.380,0.510,-0.05000
0.380,0.520,-0.05000
0.380,0.530,-0.05000
0.380,0.540,-0.05000
0.380,0.550,-0.05000
0.390,0.250,1.00000
0.390,0.260,1.00000
0.390,0.270,0.05000
0.390,0.280,-0.05000
0.390,0.290,-0.05000
0.390,0.300,-0.05000
0.390,0.310,-0.05000
0.390,0.320,-0.05000
0.390,0.330,-0.05000
0.390,0.340,-0.05000
0.390,0.350,-0.05000
0.390,0.360,-0.05000
0.390,0.370,-0.05000
0.390,0.380,-0.05000
0.390,0.390,-0.05000
0.390,0.400,-0.04762
0.390,0.410,-0.05000
0.390,0.420,-0.05000
0.390,0.430,-0.05000
0.390,0.440,-0.05000
0.390,0.450,-0.05000
0.390,0.460,-0.05000
0.390,0.470,-0.05000
0.390,0.480,-0.05000
0.390,0.490,-0.05000
0.390,0.500,-0.05000
0.390,0.510,-0.05000
0.390,0.520,-0.05000
0.390,0.530,-0.05000
0.390,0.540,-0.05000
0.390,0.550,-0.05000
0.400,0.250,1.00000
0.400,0.260,0.70000
0.400,0.270,-0.05000
0.400,0.280,-0.05000
0.400,0.290,-0.05000
0.400,0.300,-0.05000
0.400,0.310,-0.05000
0.400,0.320,-0.05000
0.400,0.330,-0.05000
0.400,0.340,-0.05000
0.400,0.350,-0.05000
0.400,0.360,-0.05000
0.400,0.370,-0.05000
0.400,0.380,-0.05000
0.400,0.390,-0.05000
0.400,0.400,-0.05000
0.400,0.410,-0.05000
0.400,0.420,-0.05000
0.400,0.430,-0.05000
0.400,0.440,-0.05000
0.400,0.450,-0.04762
0.400,0.460,-0.05000
0.400,0.470,-0.05000
0.400,0.480,-0.05000
0.400,0.490,-0.05000
0.400,0.500,-0.05000
0.400,0.510,-0.05000
0.400,0.520,-0.05000
0.400,0.530,-0.05000
0.400,0.540,-0.05000
0.400,0.550,-0.05000
0.410,0.250,1.00000
0.410,0.260,0.60000
0.410,0.270,-0.05000
0.410,0.280,-0.05000
0.410,0.290,-0.05000
0.410,0.300,0.05000
0.410,0.310,-0.05000
0.410,0.320,0.05000
0.410,0.330,-0.05000
0.410,0.340,-0.05000
0.410,0.350,-0.05000
0.410,0.360,-0.05000
0.410,0.370,-0.05000
0.410,0.380,-0.05000
0.410,0.390,-0.05000
0.410,0.400,-0.04762
0.410,0.410,-0.05000
0.410,0.420,-0.04762
0.410,0.430,-0.05000
0.410,0.440,-0.05000
0.410,0.450,-0.05000
0.410,0.460,-0.05000
0.410,0.470,-0.05000
0.410,0.480,-0.05000
0.410,0.490,-0.05000
0.410,0.500,-0.05000
0.410,0.510,-0.05000
0.410,0.520,-0.05000
0.410,0.530,-0.05000
0.410,0.540,-0.05000
0.410,0.550,-0.05000
0.420,0.250,1.00000
0.420,0.260,0.35000
0.420,0.270,0.05000
0.420,0.280,-0.05000
0.420,0.290,-0.05000
0.420,0.300,0.10000
0.420,0.310,-0.05000
0.420,0.320,-0.05000
0.420,0.330,-0.04762
0.420,0.340,-0.05000
0.420,0.350,-0.05000
0.420,0.360,-0.05000
0.420,0.370,-0.05000
0.420,0.380,-0.05000
0.420,0.390,-0.05000
0.420,0.400,-0.05000
0.420,0.410,-0.05000
0.420,0.420,-0.05000
0.420,0.430,-0.05000
0.420,0.440,-0.05000
0.420,0.450,-0.05000
0.420,0.460,-0.05000
0.420,0.470,-0.05000
0.420,0.480,-0.05000
0.420,0.490,-0.05000
0.420,0.500,-0.05000
0.420,0.510,-0.05000
0.420,0.520,-0.05000
0.420,0.530,-0.05000
0.420,0.540,-0.05000
0.420,0.550,-0.05000
0.430,0.250,1.00000
0.430,0.260,0.30000
0.430,0.270,-0.04762
0.430,0.280,-0.05000
0.430,0.290,-0.05000
0.430,0.300,-0.05000
0.430,0.310,-0.05000
0.430,0.320,-0.05000
0.430,0.330,-0.05000
0.430,0.340,-0.05000
0.430,0.350,-0.05000
0.430,0.360,-0.05000
0.430,0.370,-0.04762
0.430,0.380,-0.05000
0.430,0.390,-0.05000
0.430,0.400,-0.05000
0.430,0.410,-0.05000
0.430,0.420,-0.05000
0.430,0.430,-0.05000
0.430,0.440,-0.05000
0.430,0.450,-0.05000
0.430,0.460,-0.05000
0.430,0.470,-0.05000
0.430,0.480,-0.05000
0.430,0.490,-0.05000
0.430,0.500,-0.05000
0.430,0.510,-0.05000
0.430,0.520,-0.05000
0.430,0.530,-0.05000
0.430,0.540,-0.05000
0.430,0.550,-0.05000
0.440,0.250,1.00000
0.440,0.260,0.05000
0.440,0.270,-0.05000
0.440,0.280,-0.05000
0.440,0.290,-0.05000
0.440,0.300,-0.05000
0.440,0.310,-0.05000
0.440,0.320,-0.05000
0.440,0.330,-0.05000
0.440,0.340,-0.05000
0.440,0.350,-0.05000
0.440,0.360,-0.05000
0.440,0.370,-0.05000
0.440,0.380,-0.05000
0.440,0.390,-0.05000
0.440,0.400,-0.05000
0.440,0.410,-0.05000
0.440,0.420,-0.05000
0.440,0.430,-0.05000
0.440,0.440,-0.05000
0.440,0.450,-0.05000
0.440,0.460,-0.05000
0.440,0.470,-0.05000
0.440,0.480,-0.05000
0.440,0.490,-0.05000
0.440,0.500,-0.05000
0.440,0.510,-0.05000
0.440,0.520,-0.05000
0.440,0.530,-0.05000
0.440,0.540,-0.05000
0.440,0.550,-0.05000
0.450,0.250,0.75000
0.450,0.260,-0.05000
0.450,0.270,-0.05000
0.450,0.280,-0.05000
0.450,0.290,-0.05000
0.450,0.300,-0.05000
0.450,0.310,-0.05000
0.450,0.320,-0.05000
0.450,0.330,-0.05000
0.450,0.340,-0.05000
0.450,0.350,-0.05000
0.450,0.360,-0.05000
0.450,0.370,-0.05000
0.450,0.380,-0.05000
0.450,0.390,-0.05000
0.450,0.400,-0.05000
0.450,0.410,-0.05000
0.450,0.420,-0.05000
0.450,0.430,-0.05000
0.450,0.440,-0.05000
0.450,0.450,-0.05000
0.450,0.460,-0.05000
0.450,0.470,-0.05000
0.450,0.480,-0.05000
0.450,0.490,-0.05000
0.450,0.500,-0.05000
0.450,0.510,-0.05000
0.450,0.520,-0.05000
0.450,0.530,-0.05000
0.450,0.540,-0.05000
0.450,0.550,-0.04762
0.460,0.250,0.75000
0.460,0.260,-0.05000
0.460,0.270,-0.05000
0.460,0.280,-0.05000
0.460,0.290,-0.05000
0.460,0.300,-0.05000
0.460,0.310,-0.05000
0.460,0.320,-0.05000
0.460,0.330,-0.05000
0.460,0.340,-0.05000
0.460,0.350,-0.05000
0.460,0.360,-0.05000
0.460,0.370,-0.05000
0.460,0.380,-0.05000
0.460,0.390,-0.05000
0.460,0.400,-0.05000
0.460,0.410,-0.05000
0.460,0.420,-0.05000
0.460,0.430,-0.05000
0.460,0.440,-0.05000
0.460,0.450,-0.05000
0.460,0.460,-0.05000
0.460,0.470,-0.05000
0.460,0.480,-0.05000
0.460,0.490,-0.05000
0.460,0.500,-0.05000
0.460,0.510,-0.05000
0.460,0.520,-0.05000
0.460,0.530,-0.05000
0.460,0.540,-0.05000
0.460,0.550,-0.05000
0.470,0.250,0.55000
0.470,0.260,-0.05000
0.470,0.270,-0.05000
0.470,0.280,-0.05000
0.470,0.290,-0.05000
0.470,0.300,-0.05000
0.470,0.310,-0.05000
0.470,0.320,-0.05000
0.470,0.330,-0.05000
0.470,0.340,-0.05000
0.470,0.350,-0.05000
0.470,0.360,-0.05000
0.470,0.370,-0.05000
0.470,0.380,-0.05000
0.470,0.390,-0.05000
0.470,0.400,-0.05000
0.470,0.410,-0.04762
0.470,0.420,-0.05000
0.470,0.430,-0.05000
0.470,0.440,-0.05000
0.470,0.450,-0.05000
0.470,0.460,-0.05000
0.470,0.470,-0.05000
0.470,0.480,-0.04762
0.470,0.490,-0.05000
0.470,0.500,-0.05000
0.470,0.510,-0.05000
0.470,0.520,-0.05000
0.470,0.530,-0.05000
0.470,0.540,-0.05000
0.470,0.550,-0.05000
0.480,0.250,0.20000
0.480,0.260,-0.05000
0.480,0.270,-0.05000
0.480,0.280,-0.05000
0.480,0.290,-0.05000
0.480,0.300,-0.05000
0.480,0.310,-0.05000
0.480,0.320,-0.05000
0.480,0.330,-0.05000
0.480,0.340,-0.05000
0.480,0.350,-0.05000
0.480,0.360,-0.05000
0.480,0.370,-0.05000
0.480,0.380,-0.05000
0.480,0.390,-0.05000
0.480,0.400,-0.05000
0.480,0.410,-0.05000
0.480,0.420,-0.05000
0.480,0.430,-0.05000
0.480,0.440,-0.05000
0.480,0.450,-0.05000
0.480,0.460,-0.05000
0.480,0.470,-0.05000
0.480,0.480,-0.05000
0.480,0.490,-0.05000
0.480,0.500,-0.05000
0.480,0.510,-0.05000
0.480,0.520,-0.05000
0.480,0.530,-0.05000
0.480,0.540,-0.05000
0.480,0.550,-0.05000
0.490,0.250,0.05000
0.490,0.260,-0.05000
0.490,0.270,-0.05000
0.490,0.280,-0.05000
0.490,0.290,-0.05000
0.490,0.300,-0.05000
0.490,0.310,-0.05000
0.490,0.320,-0.05000
0.490,0.330,-0.05000
0.490,0.340,-0.05000
0.490,0.350,-0.05000
0.490,0.360,-0.05000
0.490,0.370,-0.05000
0.490,0.380,-0.04762
0.490,0.390,-0.05000
0.490,0.400,-0.05000
0.490,0.410,-0.05000
0.490,0.420,-0.05000
0.490,0.430,-0.05000
0.490,0.440,-0.05000
0.490,0.450,-0.05000
0.490,0.460,-0.05000
0.490,0.470,-0.05000
0.490,0.480,-0.05000
0.490,0.490,-0.05000
0.490,0.500,-0.05000
0.490,0.510,-0.05000
0.490,0.520,-0.05000
0.490,0.530,-0.05000
0.490,0.540,-0.04762
0.490,0.550,-0.05000
0.500,0.250,-0.05000
0.500,0.260,-0.05000
0.500,0.270,-0.05000
0.500,0.280,-0.05000
0.500,0.290,-0.05000
0.500,0.300,-0.05000
0.500,0.310,-0.05000
0.500,0.320,-0.04762
0.500,0.330,-0.05000
0.500,0.340,-0.05000
0.500,0.350,-0.05000
0.500,0.360,-0.05000
0.500,0.370,-0.05000
0.500,0.380,-0.05000
0.500,0.390,-0.05000
0.500,0.400,-0.05000
0.500,0.410,-0.05000
0.500,0.420,-0.05000
0.500,0.430,-0.05000
0.500,0.440,-0.05000
0.500,0.450,-0.05000
0.500,0.460,-0.05000
0.500,0.470,-0.05000
0.500,0.480,-0.05000
0.500,0.490,-0.05000
0.500,0.500,-0.05000
0.500,0.510,-0.05000
0.500,0.520,-0.05000
0.500,0.530,-0.05000
0.500,0.540,-0.05000
0.500,0.550,-0.05000
