#e_p,R_H,f_stab
0.060,0.440,-0.05000
0.060,0.450,-0.05000
0.060,0.460,-0.05000
0.060,0.470,-0.05000
0.060,0.480,-0.05000
0.060,0.490,-0.05000
0.060,0.500,-0.05000
0.060,0.510,-0.05000
0.060,0.520,-0.05000
0.060,0.530,-0.05000
0.060,0.540,-0.05000
0.060,0.550,-0.05000
0.070,0.250,1.00000
0.070,0.260,1.00000
0.070,0.270,1.00000
0.070,0.280,0.19048
0.070,0.290,0.65000
0.070,0.300,1.00000
0.070,0.310,1.00000
0.070,0.320,1.00000
0.070,0.330,0.85000
0.070,0.340,0.40000
0.070,0.350,0.38095
0.070,0.360,0.05000
0.070,0.370,-0.05000
0.070,0.380,-0.05000
0.070,0.390,-0.05000
0.070,0.400,-0.05000
0.070,0.410,-0.05000
0.070,0.420,-0.05000
0.070,0.430,-0.05000
0.070,0.440,-0.05000
0.070,0.450,-0.05000
0.070,0.460,-0.05000
0.070,0.470,-0.05000
0.070,0.480,-0.05000
0.070,0.490,-0.05000
0.070,0.500,-0.05000
0.070,0.510,-0.05000
0.070,0.520,-0.05000
0.070,0.530,-0.05000
0.070,0.540,-0.05000
0.070,0.550,-0.05000
0.080,0.250,1.00000
0.080,0.260,1.00000
0.080,0.270,1.00000
0.080,0.280,0.42857
0.080,0.290,0.85714
0.080,0.300,1.00000
0.080,0.310,1.00000
0.080,0.320,1.00000
0.080,0.330,0.75000
0.080,0.340,0.60000
0.080,0.350,0.35000
0.080,0.360,0.05000
0.080,0.370,-0.05000
0.080,0.380,-0.05000
0.080,0.390,-0.05000
0.080,0.400,-0.05000
0.080,0.410,-0.05000
0.080,0.420,-0.05000
0.080,0.430,-0.05000
0.080,0.440,-0.05000
0.080,0.450,-0.05000
0.080,0.460,-0.05000
0.080,0.470,-0.05000
0.080,0.480,-0.05000
0.080,0.490,-0.05000
0.080,0.500,-0.05000
0.080,0.510,-0.05000
0.080,0.520,-0.05000
0.080,0.530,-0.05000
0.080,0.540,-0.05000
0.080,0.550,-0.05000
0.090,0.250,1.00000
0.090,0.260,1.00000
0.090,0.270,1.00000
0.090,0.280,0.10000
0.090,0.290,0.85000
0.090,0.300,1.00000
0.090,0.310,1.00000
0.090,0.320,1.00000
0.090,0.330,0.76190
0.090,0.340,0.30000
0.090,0.350,0.30000
0.090,0.360,-0.05000
0.090,0.370,-0.05000
0.090,0.380,-0.05000
0.090,0.390,-0.04762
0.090,0.400,-0.05000
0.090,0.410,-0.04762
0.090,0.420,-0.05000
0.090,0.430,-0.05000
0.090,0.440,-0.05000
0.090,0.450,-0.05000
0.090,0.460,-0.05000
0.090,0.470,-0.05000
0.090,0.480,-0.05000
0.090,0.490,-0.05000
0.090,0.500,-0.05000
0.090,0.510,-0.05000
0.090,0.520,-0.05000
0.090,0.530,-0.05000
0.090,0.540,-0.05000
0.090,0.550,-0.05000
0.100,0.250,1.00000
0.100,0.260,1.00000
0.100,0.270,1.00000
0.100,0.280,0.10000
0.100,0.290,0.86364
